# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
290 290 0  1858
       39       201 (0,0)
       40        39 (0,-0.09739334602707393207)
       40        40 (0,-0.38926383215036541863)
       40        41 (0,-0.097238570048108791122)
       40       169 (0,0)
       40       245 (0,0)
       41         3 (0,-0.097039018836711704585)
       41        40 (0,-0.097238570048108791122)
       41        41 (0,-0.38855517776964099141)
       41       170 (0,0)
       41       245 (0,0)
       42         3 (0,-0.097039019435957246662)
       42        42 (0,-0.38855518025960272821)
       42        43 (0,-0.097238570693844103565)
       42       170 (0,0)
       42       243 (0,0)
       43        42 (0,-0.097238570693844103565)
       43        43 (0,-0.38926383482665494196)
       43        44 (0,-0.097393346719483381291)
       43       167 (0,0)
       43       243 (0,0)
       44        43 (0,-0.097393346719483381291)
       44        44 (0,-0.38972595111298335979)
       44        45 (0,-0.097469628837008326361)
       44       167 (0,0)
       44       200 (0,0)
       45        44 (0,-0.097469628837008326361)
       45        45 (0,-0.3899500572554849831)
       45        46 (0,-0.097505399790734151311)
       45       136 (0,0)
       45       200 (0,0)
       46        45 (0,-0.097505399790734151311)
       46        46 (0,-0.39005708036792163806)
       46        47 (0,-0.097523140393226681599)
       46       136 (0,0)
       46       250 (0,0)
       47        46 (0,-0.097523140393226681599)
       47        47 (0,-0.39011171763833185633)
       47        48 (0,-0.097532718425939232687)
       47       137 (0,0)
       47       199 (0,0)
       47       250 (0,0)
       48        47 (0,-0.097532718425939232687)
       48        48 (0,-0.39014189361780737819)
       48        49 (0,-0.097538228382964456409)
       48       166 (0,0)
       48       199 (0,0)
       49        48 (0,-0.097538228382964456409)
       49        49 (0,-0.39015963474734582928)
       49        50 (0,-0.097541588990708416596)
       49       166 (0,0)
       49       252 (0,0)
       50        49 (0,-0.097541588990708430473)
       50        50 (0,-0.39017056078890521853)
       50        51 (0,-0.097543691403744192669)
       50       158 (0,0)
       50       252 (0,0)
       51        50 (0,-0.097543691403744192669)
       51        51 (0,-0.39017737905828825395)
       51        52 (0,-0.09754499812539992043)
       51       158 (0,0)
       51       168 (0,0)
       52        51 (0,-0.09754499812539992043)
       52        52 (0,-0.3901815280189364632)
       52        53 (0,-0.097545765884068283413)
       52       168 (0,0)
       52       244 (0,0)
       53         4 (0,-0.09754612347297050845)
       53        52 (0,-0.097545765884068283413)
       53        53 (0,-0.39018377871407761148)
       53       155 (0,0)
       53       244 (0,0)
       54         4 (0,-0.097546123842262827397)
       54        54 (0,-0.39018378030652678401)
       54        55 (0,-0.09754576631100055073)
       54       230 (0,0)
       54       253 (0,0)
       55        54 (0,-0.09754576631100055073)
       55        55 (0,-0.39018152975968412033)
       55        56 (0,-0.097544998568841509434)
       55       160 (0,0)
       55       253 (0,0)
       55       280 (0,0)
       56        55 (0,-0.097544998568841509434)
       56        56 (0,-0.39017738080551866986)
       56        57 (0,-0.097543691833917811618)
       56       268 (0,0)
       56       280 (0,0)
       57        56 (0,-0.097543691833917811618)
       57        57 (0,-0.39017056254531390369)
       57        58 (0,-0.097541589438739140228)
       57       165 (0,0)
       57       268 (0,0)
       58        57 (0,-0.097541589438739140228)
       58        58 (0,-0.39015963649897628107)
       58        59 (0,-0.09753822881074898643)
       58       134 (0,0)
       58       165 (0,0)
       59        58 (0,-0.09753822881074898643)
       59        59 (0,-0.39014189543871280463)
       59        60 (0,-0.097532718908607388131)
       59       134 (0,0)
       59       208 (0,0)
       60        59 (0,-0.097532718908607388131)
       60        60 (0,-0.39011171899979979472)
       60        61 (0,-0.097523140591292481472)
       60       133 (0,0)
       60       208 (0,0)
       60       231 (0,0)
       61        60 (0,-0.097523140591292481472)
       61        61 (0,-0.39005707948947065944)
       61        62 (0,-0.09750539915344283437)
       61       153 (0,0)
       61       231 (0,0)
       62        61 (0,-0.09750539915344283437)
       62        62 (0,-0.38995005470491228561)
       62        63 (0,-0.097469628199013280678)
       62       153 (0,0)
       62       217 (0,0)
       63        62 (0,-0.0974696281990132668)
       63        63 (0,-0.38972594845217445325)
       63        64 (0,-0.09739334602707393207)
       63       204 (0,0)
       63       217 (0,0)
       64        63 (0,-0.09739334602707393207)
       64        64 (0,-0.38926383215036541863)
       64        65 (0,-0.097238570048108791122)
       64       140 (0,0)
       64       204 (0,0)
       65         1 (0,-0.097039018836711704585)
       65        64 (0,-0.097238570048108791122)
       65        65 (0,-0.38855517776964099141)
       65       140 (0,0)
       65       218 (0,0)
       66         5 (0,0)
       66         6 (0,0)
       66        66 (0,0)
       66       255 (0,0)
       66       274 (0,0)
       67         5 (0,0)
       67        13 (0,0)
       67        67 (0,0)
       67       171 (0,0)
       67       220 (0,0)
       67       265 (0,0)
       68         6 (0,0)
       68        68 (0,0)
       68        69 (0,0)
       68       256 (0,0)
       68       262 (0,0)
       69        68 (0,0)
       69        69 (0,0)
       69        70 (0,0)
       69       256 (0,0)
       70        69 (0,0)
       70        70 (0,0)
       70        71 (0,0)
       70       207 (0,0)
       70       226 (0,0)
       70       251 (0,0)
       70       256 (0,0)
       71        70 (0,0)
       71        71 (0,0)
       71        72 (0,0)
       71       251 (0,0)
       71       281 (0,0)
       72         7 (0,0)
