 (0.526922406632+-0.133243406114j)
 (-0.838700467401+-0.332518408529j)
 (-0.854254725599+0.003290570837j)
 (0.567042726049+0.502608776257j)
 (0.141000144164+0.476044705033j)
 (-0.599454374561+0.588331894721j)
 (0.287665839219+-0.460302546904j)
 (-0.224161675008+0.730974695324j)
 (-0.400760536019+-0.490109250517j)
 (-0.561741907884+-0.181043603558j)
 (-0.318798849448+0.403168548101j)
 (0.335657434711+-0.339200932310j)
 (0.210929865554+-0.490254257682j)
 (0.312421895351+-0.387778127306j)
 (-0.523783587816+-0.569313281565j)
 (0.288716468821+-0.496069350316j)
 (-0.499373599887+-0.570377183786j)
 (-0.361405685728+-0.657686961486j)
 (0.322484769572+-0.422564989186j)
 (-0.869191174551+-0.247113798437j)
 (-0.529819494048+-0.591648635774j)
 (0.433362177208+0.281853117541j)
 (0.312617949792+0.711080078771j)
 (-0.286295691818+-0.689365923797j)
 (0.458611463948+-0.077092157186j)
 (0.318604620290+-0.703104587366j)
 (0.648110673388+-0.508295131997j)
 (-0.170957449184+-0.627755397523j)
 (-0.093927123319+-0.618092336132j)
 (-0.726205794107+0.336544517404j)
 (0.388613339238+0.281567454269j)
 (-0.002136964252+-0.677114316488j)
 (0.803587048161+0.050748293203j)
 (0.375299425470+-0.323646616914j)
 (-0.421418154439+-0.627712408879j)
 (-0.153079897122+0.438138505111j)
 (-0.604183714477+-0.198442594719j)
 (-0.061997715128+0.618122160918j)
 (-0.772286705502+-0.544350845345j)
 (0.279933461175+0.770374312006j)
 (-0.515105352248+0.014752955115j)
 (0.249957809625+-0.451302115946j)
 (0.388879130627+-0.136785643490j)
 (0.464006530361+-0.105431479433j)
 (0.387407351747+-0.141650072847j)
 (0.383167356794+-0.001001482455j)
 (-0.887779490969+-0.110647870194j)
 (-0.730448892899+-0.431286788168j)
 (-0.018160073484+-0.629143882073j)
 (-0.309335883467+-0.556849919677j)
 (-0.063590313045+-0.841247340583j)
 (0.272848001339+-0.362146585419j)
 (0.251822205666+-0.392918735305j)
 (-0.748306822083+-0.530530022136j)
 (-0.077256104455+-0.593024122124j)
 (-0.077392711107+-0.622280706629j)
 (-0.215148565150+-0.635096289496j)
 (-0.611940327029+0.069278399194j)
 (-0.240141358763+-0.642275217790j)
 (0.105241086422+-0.535049251907j)
 (-0.313963558591+-0.634123400200j)
 (-0.678209813244+-0.614256063589j)
 (-0.010985528477+-0.827265342189j)
 (0.335905977791+-0.406700299492j)
 (0.109940630276+0.563661193641j)
 (0.081262628518+-0.556913119678j)
 (0.087489218871+-0.693954215901j)
 (0.317486368558+-0.285278385537j)
 (-0.388235485748+-0.753859953574j)
 (0.689815131023+0.452256620374j)
 (0.237103054170+-0.530588048423j)
 (0.426920814430+-0.393210069456j)
 (-0.802437462906+0.363293454831j)
 (0.620605333287+0.171044589242j)
 (0.278856965082+-0.434597598984j)
 (0.389511965725+-0.183232791659j)
 (0.386721104267+-0.230930142696j)
 (0.423739240552+-0.202785860973j)
 (-0.726151436682+-0.303572649623j)
 (0.268582037578+-0.503194059609j)
 (-0.409560756227+0.495722413360j)
 (0.899733077592+0.215522144441j)
 (-0.419223596364+0.700267733811j)
 (-0.409103725431+-0.418950142108j)
 (-0.666913324213+-0.358969876784j)
 (0.488059930492+-0.359679637866j)
 (-0.267889288703+-0.618272768039j)
 (-0.919922603642+-0.250965981104j)
 (-0.077144049134+-0.648892424754j)
 (-0.499523734792+0.673773756141j)
 (-0.044794698058+-0.640469172660j)
 (-0.686134417459+0.026941146345j)
 (0.186791340481+-0.545853953165j)
 (0.393809004210+-0.395099895268j)
 (0.365483108803+-0.341345639604j)
 (-0.872835826027+0.200505891018j)
 (0.211889664632+-0.856611595716j)
 (0.143106147062+-0.575333776307j)
 (-0.344319601133+0.509471056031j)
 (0.405633306908+0.452930888710j)
 (-0.434017814099+-0.734983265682j)
 (-0.240812313079+0.734525182195j)
 (-0.273817715375+-0.612768014379j)
 (-0.017294295477+-0.581306185449j)
 (0.604125296305+-0.049252772482j)
 (0.141522060421+0.420501657990j)
 (-0.157113217788+-0.583180716614j)
 (0.402225159341+0.206682258168j)
 (-0.285783318400+-0.624213574073j)
 (-0.207566642838+-0.674892645453j)
 (-0.755522802907+-0.052055272123j)
 (-0.565924389058+-0.576719720278j)
 (-0.428176679549+-0.445904378344j)
 (-0.741118077855+-0.462411638632j)
 (-0.340020513646+-0.618456926949j)
 (-0.586182281784+-0.639443449770j)
 (0.737626924212+-0.451038411460j)
 (-0.203703999753+-0.934695005414j)
 (0.380774302543+0.004760542634j)
 (0.414462520259+0.160895072798j)
 (0.378529228872+0.018244915446j)
 (0.871854032627+-0.194241468048j)
 (0.101772808545+-0.520674653601j)
 (-0.274854783340+-0.645007117043j)
 (-0.691014064698+-0.469533415723j)
 (0.347068985263+-0.343947944662j)
 (0.145674684794+0.809111038438j)
 (0.349765891932+-0.337133971267j)
 (-0.074885778966+0.422919347497j)
 (0.197361703285+-0.506268601141j)
 (-0.964701572707+-0.134913750874j)
 (-0.355032329285+0.864680275875j)
 (-0.331549198912+0.515790993778j)
 (-0.212658885761+-0.652516640891j)
 (0.095227141240+-0.602028354219j)
 (-0.750491831096+-0.453327985038j)
 (-0.709056557424+-0.472021274875j)
 (-0.607930066980+0.708685019912j)
 (0.131888275495+-0.587502523849j)
 (-0.609209904001+-0.266421606428j)
 (-0.959442274790+-0.095409920639j)
 (0.346803494319+0.384269726513j)
 (0.127547892135+-0.501338671583j)
 (-0.444192692862+0.146215722413j)
 (-0.544688316743+0.250255143274j)
 (0.544402844214+-0.357957150859j)
 (0.035927469970+-0.572656813913j)
 (0.239861786868+0.458470196272j)
 (0.750909284802+0.479260918664j)
 (-0.939001011532+0.037960290151j)
 (-0.100662086085+-0.611121356048j)
 (0.150461546683+-0.521328013919j)
 (0.384891156072+-0.398262531985j)
 (0.661651918328+-0.142618442977j)
 (0.213588426270+0.608868383387j)
 (-0.338836148097+0.284443094423j)
 (0.537606507918+0.717481092443j)
 (-0.500167746988+-0.498377271501j)
 (-0.378656453163+-0.546859039287j)
 (-0.121248875101+0.881082612565j)
 (-0.717560567290+-0.408314653371j)
 (0.208383099155+-0.636695287480j)
 (-0.596389562778+0.391783259744j)
 (0.505281475541+-0.696140499265j)
 (-0.175342542441+-0.695516428645j)
 (-0.456306424110+0.288394892185j)
